2025-12-05 00:13:35.334 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313387 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 00:13:35.334 | WARNING  | __main__:process_document:329 - 문서 54096_1 1번째 생성 실패
2025-12-05 00:18:36.315 | SUCCESS  | __main__:main:552 - 벤치마크 데이터셋 생성 완료!
2025-12-05 00:18:36.315 | INFO     | __main__:main:553 - 총 처리한 문서 수: 196
2025-12-05 00:18:36.316 | INFO     | __main__:main:554 - 총 생성된 Q&A 쌍 수: 195
2025-12-05 00:18:36.316 | INFO     | __main__:main:555 - 결과가 저장된 위치: /home/jy/projects/RAG-eval-framework/streamlit/generated_qa_data.json
2025-12-05 00:44:46.565 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 00:44:46.565 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 00:44:46.574 | INFO     | __main__:main:524 - 196개의 문서를 성공적으로 불러왔습니다
2025-12-05 00:44:46.574 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 196개의 문서
2025-12-05 00:45:56.177 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313373 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 00:46:42.053 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313373 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 00:47:33.792 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313373 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 00:47:33.792 | WARNING  | __main__:process_document:329 - 문서 54096_1 1번째 생성 실패
2025-12-05 10:37:09.411 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 10:37:09.411 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 10:37:09.437 | INFO     | __main__:main:524 - 1416개의 문서를 성공적으로 불러왔습니다
2025-12-05 10:37:09.437 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 1416개의 문서
2025-12-05 10:47:39.843 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 187502 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 10:47:46.448 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 187502 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
